Count Date,Dir,0h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
04/01/2023,P,134,124,79,213,202,238,445,766,1249,1385,2316,2591,2883,3305,3618,3602,3798,3686,3245,2424,1082,744,452,297
04/01/2023,S,191,163,120,112,238,1476,3376,3440,3190,2286,2492,2413,2258,2023,1893,1832,1658,1357,1088,977,722,524,436,277
04/02/2023,P,181,130,121,111,115,189,342,587,1115,1939,2711,3508,3750,3966,3626,3585,3558,3290,2901,1633,1099,699,392,204
04/02/2023,S,207,186,127,101,138,394,1947,2330,1867,1943,1998,1978,1983,1851,1781,1714,1478,1182,1045,881,574,490,337,239
04/03/2023,P,136,88,72,85,108,271,612,906,1056,1252,1543,1214,2449,2111,2255,2421,2193,1812,1256,838,555,401,232,160
04/03/2023,S,191,128,105,128,251,483,914,1528,1923,2075,1756,1525,1360,1363,1323,1348,1361,1120,999,675,557,451,331,243
04/04/2023,P,101,76,63,69,98,158,379,527,661,699,885,1090,442,665,368,459,626,979,1123,1080,483,261,182,237
04/04/2023,S,197,128,110,114,178,320,593,971,1383,1115,1270,1069,1009,990,1000,907,917,740,596,423,322,284,259,220
04/05/2023,P,161,119,107,85,94,187,401,763,966,1056,1364,1508,1665,1833,2196,2352,2239,1881,1247,813,696,474,312,195
04/05/2023,S,150,121,131,112,225,426,874,1886,2222,2065,1687,1530,1330,1316,1433,1278,1364,1127,1000,742,563,531,371,245
04/06/2023,P,138,105,83,95,111,253,477,734,1001,1305,1427,1519,1720,1939,2330,2667,2866,2254,1451,869,757,432,306,217
04/06/2023,S,185,171,131,123,241,451,976,2111,2554,2389,1929,1565,1547,1469,1533,1611,1754,1750,1568,1263,982,710,499,339
04/07/2023,P,142,99,81,106,125,236,467,603,1072,1212,1634,1530,2319,2487,2871,3275,3082,3221,2385,1162,769,513,333,228
04/07/2023,S,271,193,138,141,249,443,1217,2839,3342,2973,2521,2312,2045,1947,2039,2295,2467,2367,1866,1481,1036,773,455,332
04/08/2023,P,131,81,80,88,121,185,409,693,1008,1573,2013,2396,2626,3227,3516,3601,3519,2751,1624,1160,719,547,333,174
04/08/2023,S,296,149,100,93,195,674,2741,2827,2307,2215,2257,2134,1842,1730,1640,1592,1346,1284,1046,819,549,556,353,227
04/09/2023,P,138,90,76,93,99,146,270,514,945,1600,2500,2891,2963,3162,3385,2428,3796,3377,2011,1488,1132,649,310,169
04/09/2023,S,170,130,88,70,101,249,1153,2059,1949,1912,1870,1610,1556,1473,1339,1371,1429,1346,1210,952,701,446,321,177
04/10/2023,P,109,66,68,80,134,277,616,987,1107,1293,1542,1684,1801,2039,2216,2284,2037,1622,1170,815,577,398,256,147
04/10/2023,S,118,95,87,117,228,490,897,1534,1980,1939,1777,1533,1334,1199,1220,1156,1116,941,874,635,485,380,300,175
04/11/2023,P,83,80,62,72,124,233,436,709,984,1121,1220,1286,1486,1680,1592,1639,1734,1829,1222,780,552,356,220,178
04/11/2023,S,124,99,74,120,201,484,811,1305,1738,1804,1549,1272,1128,1034,988,975,1023,945,848,648,563,382,306,300
04/12/2023,P,88,80,77,77,118,208,458,691,939,1042,1208,1359,1427,1535,1874,1958,1794,1568,1176,871,598,357,283,177
04/12/2023,S,135,105,85,99,231,453,806,1305,1668,1916,1632,1437,1129,1151,1165,1060,1178,1058,935,694,580,446,293,200
04/13/2023,P,95,83,63,95,107,241,488,758,914,763,1113,1663,1624,1724,1942,2031,2040,1684,1285,869,633,410,284,186
04/13/2023,S,143,110,83,115,246,525,830,1318,1724,1824,1495,1380,1295,1241,1296,1370,1485,1448,1285,1070,711,603,396,317
04/14/2023,P,98,72,77,81,96,218,412,566,793,972,1250,1575,1485,1826,2076,2274,2062,1518,1257,833,565,255,292,140
04/14/2023,S,239,129,111,133,195,374,848,1555,1870,1925,1718,1758,1523,1557,1811,1845,2110,2146,1786,1189,796,559,416,259
04/15/2023,P,103,72,69,74,86,119,255,421,767,1079,1660,2083,2384,2842,3017,2970,3054,3064,1569,1015,660,489,317,187
04/15/2023,S,166,72,113,77,128,543,2353,3104,2431,2297,2315,1950,1791,1537,1447,1379,1308,1063,997,762,614,480,317,227
04/16/2023,P,117,99,80,85,94,157,263,476,853,1360,2296,2712,2962,3226,3301,3233,4035,3622,3448,1658,1110,652,368,209
04/16/2023,S,173,119,90,83,137,303,1246,2412,2447,2284,2137,1874,1650,1529,1440,1406,1265,1230,1040,770,571,420,276,208
04/17/2023,P,126,86,58,89,92,249,553,870,997,1121,1356,1502,1536,1748,1998,1932,1870,1468,1175,752,561,395,237,157
04/17/2023,S,139,89,83,113,238,533,905,1322,1612,1760,1501,1421,1214,1067,962,1032,1048,947,820,612,459,377,265,166
04/18/2023,P,118,77,77,73,95,199,459,755,827,971,1170,1245,1386,1548,1677,1776,1688,1490,1187,647,520,375,227,175
04/18/2023,S,129,70,87,111,240,434,737,1112,1396,1501,1291,1160,1099,953,973,1013,1034,952,900,628,497,375,273,277
04/19/2023,P,100,82,73,109,111,151,362,571,933,1062,1177,1272,1370,1588,1636,1514,1390,1206,895,628,420,291,196,148
04/19/2023,S,182,114,92,124,235,460,771,1053,1325,1401,1237,1032,1047,1019,1032,953,1067,909,829,574,501,357,289,291
04/20/2023,P,131,83,66,92,104,193,432,681,784,978,1094,1271,1444,1548,1722,1764,1611,1342,899,550,740,400,238,155
04/20/2023,S,154,112,103,142,238,432,773,1168,1514,1447,1310,1335,1065,1352,1293,1273,1395,1333,1104,820,672,489,336,362
04/21/2023,P,140,100,86,89,102,145,369,526,770,1023,1265,1486,1519,2002,2139,2028,1886,1351,969,633,591,569,330,213
04/21/2023,S,220,157,126,133,218,383,753,1525,1854,1920,1952,1892,1764,1839,1798,1938,2029,2004,1559,1170,754,498,347,217
04/22/2023,P,100,40,155,79,63,121,223,465,659,953,1329,1514,1709,2124,2573,2887,2804,2373,1299,918,514,403,292,170
04/22/2023,S,139,91,81,67,96,267,1099,2438,2393,2482,2075,2016,1747,1467,1423,1238,1346,1050,892,699,579,476,329,251
04/23/2023,P,109,78,71,70,71,122,212,375,738,1256,2002,2560,2827,3125,2956,3401,3357,3203,2756,2207,1423,636,356,169
04/23/2023,S,171,128,87,82,119,263,1198,2639,2774,2491,2289,2027,1733,1554,1405,1366,1311,1132,964,766,589,397,249,244
04/24/2023,P,117,96,92,97,113,240,562,812,898,1127,1339,1529,1605,1816,1950,1986,1898,1483,1124,817,508,358,180,123
04/24/2023,S,163,83,97,106,249,474,854,1302,1525,1667,1476,1313,1197,1176,1136,1129,1148,968,858,609,506,360,225,190
04/25/2023,P,22,140,88,84,97,190,417,619,758,839,968,1096,1222,1312,1418,1342,1206,930,631,430,294,214,151,104
04/25/2023,S,116,101,89,85,208,371,642,993,1199,1194,1075,1057,1016,956,890,767,768,761,533,401,274,215,203,159
04/26/2023,P,80,61,91,76,90,135,310,394,590,692,881,1045,1460,1721,1947,1835,1660,1380,1014,671,529,339,232,176
04/26/2023,S,130,90,81,93,172,336,789,1605,1944,1458,1238,1155,968,1013,974,965,971,847,734,567,497,369,280,258
04/27/2023,P,110,69,69,92,126,232,414,701,823,1046,1183,1323,1379,1820,1957,2002,1839,1486,1065,717,528,311,222,205
04/27/2023,S,160,125,95,122,243,488,818,1364,1581,1819,1519,1405,1340,1248,1330,1293,1320,1311,1124,834,492,356,335,170
04/28/2023,P,88,72,55,50,72,167,366,516,717,909,1286,1512,1814,2268,2516,2685,2387,1898,1348,1007,699,458,295,181
04/28/2023,S,165,86,64,114,193,370,797,1772,2202,2014,1908,1778,1704,1616,1618,1880,1831,1810,1474,1208,730,583,391,255
04/29/2023,P,136,75,81,66,80,145,248,508,910,1275,1655,1820,2189,2535,2673,2452,2991,2616,1399,1035,735,520,326,199
04/29/2023,S,213,118,95,93,182,430,1260,2472,2517,2439,2210,2078,1769,1638,1473,1444,1404,1216,1025,821,673,550,432,256
04/30/2023,P,120,79,70,63,69,116,227,414,769,1232,1900,2442,2601,2946,3208,2974,3209,2407,1711,1272,803,566,332,219
04/30/2023,S,195,131,107,88,132,220,615,1421,1834,1981,1970,1917,1707,1610,1386,1492,1550,1334,1051,930,597,417,328,315
