Count Date,Dir,0h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
03/01/2023,P,204,134,117,125,147,253,548,896,985,1129,1240,1332,1755,1979,2151,1946,1365,1436,1358,904,482,329,199,128
03/01/2023,S,166,146,113,130,225,436,987,2019,2160,1793,1505,1288,1338,1400,1428,1284,1346,1244,904,719,558,491,510,288
03/02/2023,P,77,70,77,82,108,233,454,741,942,1047,1276,1493,1689,1188,1680,2863,2848,2934,2430,929,634,410,297,215
03/02/2023,S,226,148,119,114,223,476,1177,2553,3085,2712,1930,1792,1748,1765,1886,1901,2139,1831,1803,1390,1099,897,595,492
03/03/2023,P,143,106,93,129,159,251,511,760,1044,1308,1648,1846,2117,2427,2616,3059,3102,3009,1777,871,653,454,317,209
03/03/2023,S,332,227,172,141,263,545,1699,3323,3674,3298,2433,2399,2213,2297,2571,2802,3075,3277,2375,1830,1415,909,572,399
03/04/2023,P,133,61,58,203,171,220,449,705,988,1509,2115,2349,2629,3253,3708,3806,3802,2097,1548,1288,1155,1078,844,684
03/04/2023,S,229,203,177,134,242,1732,3845,3750,3221,2197,2663,2652,2296,2195,2054,2034,1707,1499,1190,967,780,519,389,275
03/05/2023,P,672,375,135,145,175,239,566,931,1640,2570,3694,4146,4174,4002,4081,3977,4127,3732,2640,1966,1311,673,313,204
03/05/2023,S,189,151,98,109,138,657,3310,2476,1826,1886,1986,2105,2007,1835,1910,1808,1562,1185,954,744,531,417,340,174
03/06/2023,P,104,76,68,94,121,324,753,1231,1361,1465,1726,1815,2112,2183,1634,3042,2953,2697,1495,916,552,329,214,157
03/06/2023,S,118,104,107,114,220,490,1119,2154,2460,2238,1819,1599,1401,1343,1347,1252,1318,1080,840,653,528,408,298,174
03/07/2023,P,102,68,57,66,108,234,526,879,970,1076,1325,1460,1515,1837,2121,2270,2384,1792,1086,686,531,321,233,154
03/07/2023,S,148,114,82,105,208,424,921,1795,2134,2007,1469,1320,1212,1167,1118,1226,1182,990,836,663,501,405,320,190
03/08/2023,P,126,80,71,80,130,246,547,859,981,1151,1318,1457,1589,1791,2427,2420,2181,1676,1138,690,508,318,238,166
03/08/2023,S,139,113,80,124,240,483,948,1815,2271,1986,1595,1383,1406,1367,1397,1432,1478,1263,1058,731,639,524,447,275
03/09/2023,P,98,85,82,25,166,233,503,807,920,1199,1369,1410,1665,1945,2287,2515,2620,2182,1428,840,638,360,327,118
03/09/2023,S,220,137,104,133,223,457,1008,2152,2509,2347,1786,1637,1557,1661,1743,1841,1952,1833,1584,1360,1041,739,569,345
03/10/2023,P,116,92,94,104,172,252,560,748,1047,1469,1854,1929,1528,2105,2429,2343,2192,1942,1527,1263,761,957,1136,445
