COUNTSTATIONID,COUNTDATE,COUNTDIR,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
106,20230101,P,72,68,66,49,82,212,359,672,982,1713,2525,2455,2484,2447,2681,2292,2221,1726,1297,940,637,396,265,134,1/1/2023
106,20230101,S,69,72,64,52,74,137,495,1407,1707,1522,1462,1611,1836,1799,1626,1599,1423,1027,736,573,492,351,302,154,1/1/2023
106,20230102,P,71,61,83,87,131,235,430,705,1028,1773,2395,2289,2112,2248,2369,2037,1308,1477,1380,976,588,356,208,123,1/2/2023
106,20230102,S,96,59,92,79,98,133,507,1475,1826,1618,1694,1735,1303,1326,1156,1142,945,779,625,391,366,244,263,222,1/2/2023
106,20230103,P,96,91,57,78,89,214,430,643,859,1017,1372,1351,1636,1705,1786,897,782,633,453,581,739,98,11,328,1/3/2023
106,20230103,S,143,94,101,87,119,196,512,1137,1556,1578,1582,1477,1246,1162,1176,694,579,761,598,784,581,257,199,181,1/3/2023
106,20230104,P,126,88,76,82,114,194,355,553,908,990,1202,1459,1346,1585,1776,1861,1681,1253,820,599,406,370,221,147,1/4/2023
106,20230104,S,140,82,83,115,130,230,463,1244,1498,1571,1401,1313,1283,1132,1149,1223,1083,851,661,587,463,330,253,175,1/4/2023
106,20230105,P,108,103,60,88,98,188,330,519,773,956,1125,1103,1311,1538,1955,2174,2073,1378,874,568,417,275,158,107,1/5/2023
106,20230105,S,129,117,102,80,108,228,572,1419,1816,1660,1698,1599,1139,1047,1255,1206,1275,1139,976,829,656,430,371,229,1/5/2023
106,20230106,P,75,66,58,74,113,159,374,576,715,997,1416,1349,1381,1636,1911,1981,1814,1350,721,520,380,296,206,117,1/6/2023
106,20230106,S,156,126,107,73,108,226,588,1633,1821,1878,1571,1373,1206,1290,1429,1710,2149,1898,1674,1367,997,617,403,266,1/6/2023
106,20230107,P,102,69,82,73,91,183,401,611,868,1226,1723,1714,1825,2233,2529,1942,1706,1940,1924,985,668,364,217,136,1/7/2023
106,20230107,S,139,97,62,64,124,343,1740,1883,1974,1820,1856,2082,2159,1461,1377,1390,1198,1006,777,552,432,411,243,171,1/7/2023
106,20230108,P,83,53,68,73,108,221,415,718,980,1985,2764,2646,2615,2310,1861,1802,1774,1859,1907,1427,787,328,207,102,1/8/2023
106,20230108,S,98,69,52,53,67,162,1078,1731,1648,1625,1642,1313,1273,1213,1218,1282,1096,813,772,729,463,323,210,156,1/8/2023
106,20230110,P,48,56,54,48,66,135,311,466,594,839,963,919,1089,1334,1467,1465,1426,1029,626,493,331,244,232,121,1/10/2023
106,20230110,S,136,107,91,80,119,252,511,1084,1533,1668,1319,1073,873,877,881,903,885,644,525,474,331,315,218,213,1/10/2023
106,20230111,P,77,59,51,65,82,138,214,506,597,714,807,634,285,43,747,569,671,566,996,688,872,446,327,105,1/11/2023
106,20230111,S,106,86,86,88,130,209,390,775,1106,1146,1018,483,7,81,277,414,1168,826,1069,335,604,329,231,192,1/11/2023
106,20230112,P,248,83,87,88,104,188,316,564,807,922,1174,1125,1481,1637,1971,2034,1961,1214,905,547,370,266,171,141,1/12/2023
106,20230112,S,201,153,115,111,131,233,694,1657,1904,1738,1622,1507,1126,1242,1308,1269,1375,1202,1080,995,835,663,532,327,1/12/2023
106,20230113,P,77,78,63,79,104,182,372,509,833,959,1135,1259,1482,1786,2130,1773,2094,1825,1105,682,453,349,168,146,1/13/2023
106,20230113,S,242,178,141,132,162,230,881,1785,2118,1897,2084,1558,1530,1746,1881,2198,2282,2227,2164,1748,1460,998,659,422,1/13/2023
106,20230114,P,87,72,69,69,90,167,335,554,807,1170,1541,1480,1675,1914,2216,2262,1980,1696,1111,779,502,337,220,130,1/14/2023
106,20230114,S,309,224,148,107,132,438,1694,1931,1873,1796,1946,1743,1576,1586,1668,1555,1623,1180,939,767,619,473,315,175,1/14/2023
106,20230115,P,107,54,68,64,86,146,330,550,879,1475,1925,2004,2037,2251,2114,1280,1152,1303,1290,1221,917,508,240,121,1/15/2023
106,20230115,S,107,79,72,58,70,205,1316,1672,1651,1774,1604,1455,1198,1194,1057,926,711,49,160,1359,405,342,249,161,1/15/2023
106,20230116,P,75,58,70,106,25,0,243,0,1213,2047,2692,2552,2464,2183,1899,1982,1750,1796,1978,1092,769,333,185,103,1/16/2023
106,20230116,S,90,100,66,91,121,278,968,1352,1591,1688,1809,1669,1168,1044,999,910,820,802,539,386,309,232,175,151,1/16/2023
106,20230117,P,73,68,46,58,110,213,500,712,854,979,1222,1157,1250,1238,1227,1156,955,657,326,158,134,103,54,22,1/17/2023
106,20230117,S,100,99,83,77,137,214,460,999,1085,952,950,818,769,757,771,715,718,492,480,428,332,232,173,127,1/17/2023
106,20230118,P,75,38,30,27,45,65,158,195,256,383,432,446,662,407,495,715,989,867,466,301,221,154,138,80,1/18/2023
106,20230118,S,83,68,43,60,69,118,293,721,579,659,566,431,504,513,559,604,582,527,333,362,331,300,241,201,1/18/2023
106,20230119,P,71,49,41,70,78,135,311,469,639,740,858,850,1057,1302,1544,1723,1523,1161,669,450,319,199,158,123,1/19/2023
106,20230119,S,149,106,84,85,98,113,593,1226,1591,1519,1304,1147,1087,1138,1324,1352,1327,1296,1121,994,882,635,516,302,1/19/2023
106,20230120,P,76,66,60,65,84,148,303,432,602,855,968,1006,1129,1501,1870,1875,1732,1207,778,507,385,269,175,111,1/20/2023
106,20230120,S,226,157,108,101,145,239,700,1746,1908,2024,1613,1396,1439,1648,1909,2138,2278,2167,2156,1959,1276,904,508,284,1/20/2023
106,20230121,P,62,61,43,45,59,109,294,509,681,960,1293,1481,1561,2096,2277,702,1640,1294,706,1252,982,353,196,114,1/21/2023
106,20230121,S,175,151,81,59,103,367,1612,1935,2059,1844,1893,1599,1454,1405,1425,1308,1325,914,681,539,448,296,223,117,1/21/2023
