Count Date,Dir,0h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
12/01/2022,P,93,63,50,58,109,188,405,673,716,973,998,1214,1413,1704,1859,2150,2016,1566,1200,744,596,495,267,165
12/01/2022,S,137,120,80,105,228,444,797,1496,1718,1991,1606,1524,1358,1396,1465,1593,1522,1368,1198,1007,749,573,365,218
12/02/2022,P,136,67,76,70,89,171,312,423,576,717,910,1000,860,776,1025,2127,1605,1347,945,611,459,365,224,143
12/02/2022,S,185,154,139,131,192,366,770,1385,1543,1553,1389,1502,1361,1313,1340,1740,2093,1900,1690,1308,900,534,399,242
12/03/2022,P,98,54,61,58,87,111,219,388,596,928,1205,1621,2039,2592,3102,3408,3063,2818,2342,1458,640,386,221,138
12/03/2022,S,176,124,89,94,157,602,3008,3267,3079,3024,2917,2636,2092,1716,1484,1386,1241,938,717,563,481,342,269,150
12/04/2022,P,112,64,72,76,78,108,214,411,718,1343,2207,3020,3503,3818,3789,3976,3762,3854,3316,1373,806,462,234,116
12/04/2022,S,103,73,56,66,96,319,2093,3559,2943,2259,2415,2064,1660,1452,1368,1245,1050,847,708,558,391,281,203,157
12/05/2022,P,77,63,65,69,95,219,484,795,934,1074,1297,1467,1464,1573,1745,1777,1680,1362,889,513,449,286,222,113
12/05/2022,S,111,89,95,90,217,473,750,1462,1697,1616,1184,951,1149,1073,1227,1044,1028,795,666,531,377,285,200,149
12/06/2022,P,64,54,32,50,68,150,329,481,629,655,883,1100,1145,1531,1796,1753,1653,1270,782,470,351,234,185,121
12/06/2022,S,135,84,96,89,188,420,685,1420,1635,1474,1197,1024,915,921,847,962,855,736,624,518,385,304,216,186
12/07/2022,P,98,56,50,60,85,175,430,619,729,930,1067,1180,1369,1721,2173,2116,2142,1492,967,573,383,340,161,146
12/07/2022,S,133,81,82,122,207,429,750,1728,1990,1890,1502,1235,1081,1205,1132,1135,1191,960,747,637,545,427,362,208
12/08/2022,P,79,71,43,36,87,158,372,549,648,743,921,1147,1355,1604,2012,2323,2058,1557,1021,700,486,395,231,141
12/08/2022,S,153,119,94,100,172,432,798,1627,1967,1910,1601,1379,1446,1367,1379,1472,1556,1324,1106,954,724,558,373,221
12/09/2022,P,100,94,64,76,103,208,387,550,772,950,1222,1405,1896,2397,2848,3146,3001,2533,1364,827,607,425,277,168
