Count Date,Dir,0h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
02/01/2023,P,102,77,57,95,118,207,460,758,887,998,1266,1245,1108,2139,2243,2709,2464,1817,1116,692,466,389,242,178
02/01/2023,S,152,113,98,135,245,431,978,1946,2240,2399,1804,1498,1345,1416,1513,1420,1496,1306,1097,783,620,508,411,307
02/02/2023,P,137,72,66,72,121,220,441,752,831,989,1187,1345,1553,2005,2559,2782,2853,1750,1268,1024,560,408,275,171
02/02/2023,S,222,169,122,129,251,481,1140,2553,2789,2516,2033,1731,1617,1665,1841,1835,2060,1888,1679,1353,1075,717,654,364
02/03/2023,P,103,71,82,91,118,215,442,629,841,1050,1323,1596,1808,2330,3001,3248,3180,3007,2027,1105,669,485,294,183
02/03/2023,S,314,204,134,152,213,499,1628,3090,3381,3353,3065,2184,2231,2211,2732,3183,3505,3334,3014,2199,1631,1021,646,348
02/04/2023,P,121,74,69,86,98,187,369,584,839,1329,1931,2187,2472,3149,3802,3973,3786,3529,3220,1501,1059,650,346,232
02/04/2023,S,276,148,117,104,201,1798,3353,3785,3418,2301,2338,2476,2291,2218,2087,2034,1857,1415,1185,889,749,561,385,276
02/05/2023,P,132,101,104,98,136,240,501,854,1328,2283,3499,4066,3990,4052,3958,3981,3910,3744,3667,3658,2333,825,370,196
02/05/2023,S,193,105,85,78,139,961,3510,3393,2865,1975,2291,2283,2114,1985,1977,1758,1515,1207,932,660,495,375,248,142
02/06/2023,P,90,49,49,58,101,238,613,1083,1133,1430,1663,1859,1939,1685,2152,3037,2645,1954,1154,699,454,302,201,153
02/06/2023,S,145,104,87,106,194,455,951,1955,2091,1909,1570,1405,1189,1187,1266,1121,1089,921,680,537,412,298,213,166
02/07/2023,P,84,45,59,74,97,201,474,785,890,1041,1226,1309,1508,1866,2248,2631,2558,1799,1121,654,497,312,218,153
02/07/2023,S,139,107,87,98,187,417,913,2070,2315,2296,1562,1401,1202,1121,1229,1113,1175,938,795,612,465,373,333,200
02/08/2023,P,127,85,71,74,125,234,541,772,934,1160,1359,1453,1518,1846,2043,2276,2253,1709,943,446,379,305,232,141
02/08/2023,S,150,97,82,109,224,461,909,1959,2173,1931,1675,1446,1372,1339,1475,1438,1433,1237,1009,732,622,527,356,203
02/09/2023,P,116,72,68,63,98,199,381,659,801,886,1207,1416,1493,1636,1956,2357,2153,1688,1205,732,565,393,271,185
02/09/2023,S,195,112,108,102,207,417,1003,2104,2159,1863,1509,1587,1579,1605,1807,1870,2080,1843,1589,1244,1095,798,484,311
02/10/2023,P,120,82,82,86,116,215,444,707,925,1162,1522,1767,1876,2379,2849,2900,3067,3111,2711,1113,745,534,328,209
02/10/2023,S,255,211,133,130,212,486,1694,3434,3340,3353,3007,2315,2171,2347,2638,2979,3347,3359,2789,1961,1465,934,584,350
02/11/2023,P,140,84,90,77,103,210,430,710,1044,1434,2030,2273,2654,3166,3980,3915,4002,3585,3343,1734,1113,670,365,190
02/11/2023,S,275,175,120,117,221,1766,3446,3685,3560,2496,2406,2651,2299,2084,2162,1902,1718,1377,1100,878,710,460,329,213
02/12/2023,P,137,104,84,99,125,221,506,843,1460,2453,3850,3909,3984,3934,3566,4296,4036,3534,2458,1379,1096,1279,439,164
02/12/2023,S,147,109,85,81,142,701,3388,3273,1875,1979,2115,2107,1883,1816,1703,1429,1114,839,643,514,476,495,274,168
02/13/2023,P,101,64,72,79,145,315,872,1552,1566,1714,2149,2173,2148,2454,2643,2810,2903,2054,1059,678,484,306,235,135
02/13/2023,S,107,94,70,129,205,458,1027,1897,2483,2425,1939,1690,1390,1308,1365,1293,1180,1067,838,585,474,321,216,174
02/14/2023,P,92,70,46,56,92,174,446,818,867,1083,1245,1396,1482,1572,2074,1958,1874,1390,824,573,370,244,165,101
02/14/2023,S,121,101,76,101,193,409,757,1485,1658,1588,1252,1257,1114,1092,1148,1091,1096,931,799,587,385,305,245,178
