Count Date,Dir,0h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01/01/2023,P,107,112,82,67,97,178,343,646,1114,1733,2742,3793,3639,3610,3989,3781,3695,3484,2971,1597,1032,585,384,217
01/01/2023,S,123,127,116,85,134,392,1985,3024,2259,2125,2430,2562,2493,2244,2228,2056,1614,1190,937,676,556,459,310,153
01/02/2023,P,104,61,101,104,118,237,409,791,1156,1831,2642,3572,3377,3554,3931,3967,2874,2677,2328,1886,1592,641,298,172
01/02/2023,S,115,108,102,96,135,342,2085,3162,3118,3000,2644,1999,1778,1637,1532,1437,1129,885,651,527,456,329,305,193
01/03/2023,P,138,89,92,89,131,206,545,842,1037,1300,1620,1901,2164,2499,2667,2685,1874,1755,1744,975,1189,1000,271,288
01/03/2023,S,159,104,107,133,210,466,978,2413,2832,2669,2178,1833,1700,1561,1625,1561,1249,1011,762,588,454,318,249,183
01/04/2023,P,192,119,86,94,127,239,466,838,968,1241,1558,1765,2038,2284,2740,2933,2814,2492,1393,832,642,401,357,202
01/04/2023,S,126,111,120,126,233,431,1000,2378,2831,2415,1934,1852,1746,1491,1572,1501,1447,1182,966,744,543,425,276,243
01/05/2023,P,122,120,74,99,118,250,481,769,952,1280,1374,1643,1776,2379,2762,3010,2979,2868,2836,956,632,443,220,165
01/05/2023,S,134,139,104,118,222,462,1231,2844,3200,3194,2432,2007,1684,1522,1649,1637,1657,1573,1319,1043,781,568,402,268
01/06/2023,P,92,69,88,72,133,207,505,734,905,1169,1613,2054,2008,2485,3036,3057,2949,2808,1576,824,645,464,234,226
01/06/2023,S,161,152,125,112,216,427,1391,3080,3253,2692,2123,1963,1890,1881,2206,2525,3397,2671,2120,1717,1168,718,511,277
01/07/2023,P,119,102,93,86,97,196,360,666,897,1371,2081,2423,2671,3305,3879,3795,4038,3470,3468,3295,1234,637,352,218
01/07/2023,S,158,113,88,109,219,1270,3651,3635,3897,3452,3134,2908,2446,1992,1990,1783,1580,1289,971,736,599,495,281,227
01/08/2023,P,121,77,76,96,123,236,394,677,1134,1832,3153,3813,3721,3930,4094,4076,4010,3774,3741,3514,1514,622,324,143
01/08/2023,S,130,85,78,80,129,665,3200,3477,3485,2901,2163,2104,1850,1675,1724,1589,1282,1078,1024,808,494,367,254,186
